prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,ctr_mean,ctr_std
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9325842696629213,0.0
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9407235499374547,0.0073457276834402166
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9047619047619048,0.0
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.933494612385225,0.0020460846052805376
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.941547131114001,0.0027297550708103788
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8376645912013881,0.003200313229317586
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8466666666666667,0.0
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8313253012048193,0.0
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8587355963874181,0.010339458112737442
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9151821132347638,0.00014424810674360523
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7,0.0
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9182563578816708,0.005363069838474821
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.76,0.0
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.885432493669199,0.0003731840597094749
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8990659920290482,0.005571026077409145
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.930232558139535,1.1102230246251565e-16
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9204861568162872,0.00014918169452857733
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8461538461538461,0.0
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.888888888888889,1.1102230246251565e-16
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9275360195360195,0.0022329358400670373
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.888888888888889,1.1102230246251565e-16
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9506726457399102,1.1102230246251565e-16
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8823529411764707,1.1102230246251565e-16
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9189755999193385,0.0006915276547482168
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9378081811236891,0.0004166956038613722
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9162350320245057,0.007912581736642959
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8740437563393086,0.010531867198244596
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8963636363636363,0.0044536177141512616
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9137823316256405,0.013494939397725858
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8901098901098902,1.1102230246251565e-16
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8560000000000001,1.1102230246251565e-16
