prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,t1a_mean,t1a_std
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.07317073170731707,0.0
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.04878048780487805,0.0
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.04878048780487805,0.0
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.06000000000000001,0.013997084244475301
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.02857142857142857,0.0
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.04285714285714286,0.0
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.04285714285714286,0.0
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.03428571428571429,0.006998542122237652
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.0,0.0
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.0,0.0
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.0,0.0
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.0,0.0
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.0,0.0
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.0,0.0
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.03333333333333333,0.0
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.0,0.0
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.0,0.0
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.0,0.0
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.0,0.0
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.0,0.0
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.031746031746031744,0.0
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.02222222222222222,0.007776157913597391
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.047619047619047616,0.0
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.031746031746031744,0.0
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.031746031746031744,0.0
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.0,0.0
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.0,0.0
