prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,ppl_mean,ppl_std,comp_ratio_mean
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.183152364950015,0.0398596783876365,0.4487087438970262
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.43241776662671,0.1388802761481143,0.43273945234457634
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,21.15563826420344,0.0,0.7013574660633484
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.133707719517297,0.09126267406903095,0.46090445649740586
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.255585188304238,0.03513859043493548,0.4110452219112498
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,16.05655785278766,0.7892334952795287,0.49071439200558603
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.757350335869493,0.0,0.38392857142857145
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,14.143697887526807,0.0,0.5148809523809523
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,18.062566594355033,0.9571268397381445,0.4181687942317781
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,18.981311577990645,0.046416205738871515,0.4160392483139126
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,17.258879993736343,0.0,1.0847457627118644
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.454729673252295,0.20460785563139713,0.35221526046549106
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.61144152360377,0.0,0.9753086419753088
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.040672885360898,0.1267816940947171,0.4252790289697027
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,23.369317471119817,0.0729170880124391,0.4856493574104629
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.17761542630236,0.0,0.2887383573243014
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.32436781552347,0.01186714450219597,0.29221070433078633
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.766388464953135,0.0,0.6116504854368932
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.520815714149503,0.0,0.5175600739371534
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,23.9807828966693,0.25259226436456966,0.45580915266200633
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.96905979250927,0.0,0.5102040816326531
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.740334125756156,0.0,0.37178265014299333
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,20.735684461828615,0.0,0.7300613496932515
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.347682366284353,0.014309614107424633,0.38560657719743685
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.265689062162913,0.07281515924052968,0.3877068557919622
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,19.197151664648562,0.6111516016787857,0.5434312132320522
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.974463299474024,0.365411075232711,0.41652558492847047
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.819379886273133,0.10047931842045774,0.6185581234908589
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.01736708098114,0.3931953968682585,0.4612634591795012
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.64867511405938,0.03416266937312145,0.482561533116337
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.014595443454745,0.0,0.4865350089766607
