prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,sc_mean
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9992476677615028
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9962649496452268
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9945416220342052
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9916539627897254
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9963152159174659
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.940637843082975
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9851235300093668
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9785167382185265
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9994717477178281
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9385381391200941
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9993745190711577
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999997
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9952078119073272
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9969274857523575
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9961226189262404
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7712324849735525
