prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,entropy_mean,entropy_std,ppl_mean,ppl_std,t1a_mean,t1a_std,sc_mean,ctr_mean,ctr_std,strategy_code,length_code,specificity_code,vocab_code,syntax_code
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.595928451895034,0.0023787125734398,24.18315236495001,0.0398596783876365,0.0,0.0,0.9992476677615028,0.9325842696629212,0.0,0,0,0,0,0
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.487485614752492,0.0089206459103862,22.43241776662671,0.1388802761481143,0.0,0.0,0.9962649496452268,0.9407235499374548,0.0073457276834402,0,1,1,1,1
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.402970307251935,0.0,21.15563826420344,0.0,0.073170731707317,0.0,1.0,0.9047619047619048,0.0,1,1,2,2,0
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.331526189021585,0.0065264638003154,20.133707719517297,0.0912626740690309,0.048780487804878,0.0,0.9945416220342052,0.933494612385225,0.0020460846052805,2,2,2,2,0
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.4097680990519725,0.0023876027728939,21.25558518830424,0.0351385904349354,0.048780487804878,0.0,0.9916539627897254,0.941547131114001,0.0027297550708103,2,2,2,2,1
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.003322078645915,0.0716934069569071,16.05655785278766,0.7892334952795287,0.06,0.0139970842444753,0.996315215917466,0.8376645912013881,0.0032003132293175,0,0,0,0,0
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.304317574521567,0.0,19.757350335869493,0.0,0.0285714285714285,0.0,1.0000000000000002,0.8466666666666667,0.0,0,1,1,1,1
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,3.8220874587775753,0.0,14.143697887526807,0.0,0.0428571428571428,0.0,1.0,0.8313253012048193,0.0,1,1,2,2,0
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.17300432967031,0.0736253658592868,18.062566594355037,0.9571268397381444,0.0428571428571428,0.0,0.940637843082975,0.8587355963874181,0.0103394581127374,2,2,2,2,0
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.246503459686275,0.0035312175162047,18.981311577990645,0.0464162057388715,0.0342857142857142,0.0069985421222376,0.9851235300093668,0.9151821132347638,0.0001442481067436,2,2,2,2,1
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.109266939478949,0.0,17.258879993736343,0.0,0.0,0.0,0.9999999999999998,0.7,0.0,0,0,0,0,0
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.423157958450306,0.0137984899355316,21.45472967325229,0.2046078556313971,0.0,0.0,0.9785167382185264,0.9182563578816708,0.0053630698384748,0,1,1,1,1
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.2936236784806585,0.0,19.61144152360377,0.0,0.0,0.0,1.0000000000000002,0.76,0.0,1,1,2,2,0
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.324829990527558,0.0091705084456496,20.040672885360895,0.1267816940947171,0.0,0.0,0.999471747717828,0.885432493669199,0.0003731840597094,2,2,2,2,0
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.546536685221301,0.0044947525400576,23.369317471119817,0.0729170880124391,0.0,0.0,0.938538139120094,0.8990659920290482,0.0055710260774091,2,2,2,2,1
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.4044682476584605,0.0,21.17761542630236,0.0,0.0,0.0,1.0,0.930232558139535,1.1102230246251563e-16,0,0,0,0,0
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.272349040750016,0.0008863711906904,19.32436781552347,0.0118671445021959,0.0,0.0,0.9993745190711576,0.9204861568162872,0.0001491816945285,0,1,1,1,1
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.067500056012378,0.0,16.766388464953135,0.0,0.0,0.0,1.0000000000000002,0.8461538461538461,0.0,1,1,2,2,0
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.359016174924347,0.0,20.520815714149503,0.0,0.0,0.0,0.9999999999999996,0.888888888888889,1.1102230246251563e-16,2,2,2,2,0
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.583726411981944,0.0152546379629478,23.9807828966693,0.2525922643645696,0.0,0.0,0.9952078119073272,0.9275360195360196,0.002232935840067,2,2,2,2,1
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.521619898035686,0.0,22.96905979250927,0.0,0.0,0.0,1.0000000000000002,0.888888888888889,1.1102230246251563e-16,0,0,0,0,0
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.507181546920077,0.0,22.74033412575616,0.0,0.0,0.0,0.9999999999999998,0.9506726457399102,1.1102230246251563e-16,0,1,1,1,1
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.374043764672255,0.0,20.735684461828612,0.0,0.0333333333333333,0.0,1.0000000000000002,0.8823529411764707,1.1102230246251563e-16,1,1,2,2,0
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.346792216766224,0.0010144373877047,20.347682366284356,0.0143096141074246,0.0,0.0,0.9969274857523576,0.9189755999193384,0.0006915276547482,2,2,2,2,0
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.41044721120872,0.0049526344417419,21.265689062162917,0.0728151592405296,0.0,0.0,0.9961226189262404,0.9378081811236892,0.0004166956038613,2,2,2,2,1
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.26209518860798,0.0456482929531764,19.19715166464856,0.6111516016787857,0.0,0.0,0.7712324849735525,0.9162350320245056,0.0079125817366429,0,0,0,0,0
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.457557413903759,0.0239130642228081,21.974463299474024,0.365411075232711,0.0,0.0,0.877883122158811,0.8740437563393086,0.0105318671982445,0,1,1,1,1
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.0720268242270965,0.0086293196127532,16.819379886273133,0.1004793184204577,0.0,0.0,0.9831015752301354,0.8963636363636363,0.0044536177141512,1,1,2,2,0
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.248939325376474,0.0296778233925112,19.01736708098114,0.3931953968682585,0.0,0.0,0.941381175510093,0.9137823316256404,0.0134949393977258,2,2,2,2,0
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.296357947072506,0.0025116576513262,19.64867511405938,0.0341626693731214,0.0,0.0,0.9959077505222996,0.8901098901098902,1.1102230246251563e-16,2,2,2,2,1
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.393319778008724,0.0,21.014595443454745,0.0,0.0317460317460317,0.0,0.9999999999999998,0.8560000000000001,1.1102230246251563e-16,0,0,0,0,0
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.424477955716057,0.012210713427998,21.47415836144033,0.1820338651472643,0.0222222222222222,0.0077761579135973,0.9239880474518986,0.8779218680563972,0.0042682913987924,0,1,1,1,1
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,4.05350336455507,0.0,16.60451138352559,0.0,0.0476190476190476,0.0,1.0000000000000004,0.8412698412698413,0.0,1,1,2,2,0
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,4.29443201916148,0.0,19.622432874864423,0.0,0.0317460317460317,0.0,1.0,0.8727272727272727,0.0,2,2,2,2,0
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,4.269863968520816,0.0795174746990927,19.321240273178176,1.1089984953774394,0.0317460317460317,0.0,0.8097736679326276,0.9204089324707458,0.0178096202845887,2,2,2,2,1
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,4.40655925178323,0.0,21.208331957788687,0.0,0.0,0.0,0.9999999999999996,0.8102189781021899,1.1102230246251563e-16,0,0,0,0,0
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,4.357712481749859,0.0316540132996836,20.507202036144484,0.4480290200250018,0.0,0.0,0.9115865624365715,0.8627164139839453,0.0127485755099303,0,1,1,1,1
