prompt_id,task_name,task_difficulty,strategy,length,specificity,vocabulary,syntax,prompt_text
1,has_close_elements,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called has_close_elements that Check if any two numbers in a list are closer than a given threshold.
2,has_close_elements,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function has_close_elements should Check if any two numbers in a list are closer than a given threshold. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
3,has_close_elements,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function has_close_elements that Check if any two numbers in a list are closer than a given threshold.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement has_close_elements following the same pattern. Use type hints. Return the correct data type."
4,has_close_elements,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called has_close_elements that Check if any two numbers in a list are closer than a given threshold.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
5,has_close_elements,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named has_close_elements is required. Its purpose is to Check if any two numbers in a list are closer than a given threshold.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
6,separate_paren_groups,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called separate_paren_groups that Split a string of balanced parentheses into separate groups.
7,separate_paren_groups,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function separate_paren_groups should Split a string of balanced parentheses into separate groups. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
8,separate_paren_groups,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function separate_paren_groups that Split a string of balanced parentheses into separate groups.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement separate_paren_groups following the same pattern. Use type hints. Return the correct data type."
9,separate_paren_groups,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called separate_paren_groups that Split a string of balanced parentheses into separate groups.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
10,separate_paren_groups,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named separate_paren_groups is required. Its purpose is to Split a string of balanced parentheses into separate groups.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
11,truncate_number,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called truncate_number that Return the decimal part of a positive float.
12,truncate_number,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function truncate_number should Return the decimal part of a positive float. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
13,truncate_number,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function truncate_number that Return the decimal part of a positive float.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement truncate_number following the same pattern. Use type hints. Return the correct data type."
14,truncate_number,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called truncate_number that Return the decimal part of a positive float.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
15,truncate_number,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named truncate_number is required. Its purpose is to Return the decimal part of a positive float.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
16,below_zero,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called below_zero that Detect if a bank account balance ever goes below zero.
17,below_zero,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function below_zero should Detect if a bank account balance ever goes below zero. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
18,below_zero,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function below_zero that Detect if a bank account balance ever goes below zero.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement below_zero following the same pattern. Use type hints. Return the correct data type."
19,below_zero,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called below_zero that Detect if a bank account balance ever goes below zero.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
20,below_zero,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named below_zero is required. Its purpose is to Detect if a bank account balance ever goes below zero.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
21,mean_absolute_deviation,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called mean_absolute_deviation that Compute mean absolute deviation of a list of numbers.
22,mean_absolute_deviation,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function mean_absolute_deviation should Compute mean absolute deviation of a list of numbers. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
23,mean_absolute_deviation,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function mean_absolute_deviation that Compute mean absolute deviation of a list of numbers.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement mean_absolute_deviation following the same pattern. Use type hints. Return the correct data type."
24,mean_absolute_deviation,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called mean_absolute_deviation that Compute mean absolute deviation of a list of numbers.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
25,mean_absolute_deviation,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named mean_absolute_deviation is required. Its purpose is to Compute mean absolute deviation of a list of numbers.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
26,intersperse,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called intersperse that Insert a delimiter element between every element of a list.
27,intersperse,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function intersperse should Insert a delimiter element between every element of a list. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
28,intersperse,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function intersperse that Insert a delimiter element between every element of a list.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement intersperse following the same pattern. Use type hints. Return the correct data type."
29,intersperse,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called intersperse that Insert a delimiter element between every element of a list.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
30,intersperse,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named intersperse is required. Its purpose is to Insert a delimiter element between every element of a list.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
31,parse_nested_parens,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called parse_nested_parens that Return the maximum nesting depth of parentheses groups.
32,parse_nested_parens,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function parse_nested_parens should Return the maximum nesting depth of parentheses groups. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
33,parse_nested_parens,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function parse_nested_parens that Return the maximum nesting depth of parentheses groups.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement parse_nested_parens following the same pattern. Use type hints. Return the correct data type."
34,parse_nested_parens,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called parse_nested_parens that Return the maximum nesting depth of parentheses groups.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
35,parse_nested_parens,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named parse_nested_parens is required. Its purpose is to Return the maximum nesting depth of parentheses groups.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
36,filter_by_substring,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called filter_by_substring that Filter a list of strings to only those containing a substring.
37,filter_by_substring,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function filter_by_substring should Filter a list of strings to only those containing a substring. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
38,filter_by_substring,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function filter_by_substring that Filter a list of strings to only those containing a substring.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement filter_by_substring following the same pattern. Use type hints. Return the correct data type."
39,filter_by_substring,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called filter_by_substring that Filter a list of strings to only those containing a substring.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
40,filter_by_substring,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named filter_by_substring is required. Its purpose is to Filter a list of strings to only those containing a substring.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
41,sum_product,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called sum_product that Return sum and product of a list of integers as a tuple.
42,sum_product,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function sum_product should Return sum and product of a list of integers as a tuple. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
